#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
3098                 -         5S_rRNA              RF00001    cm        1      119        3      123      +    no    1 0.51   0.0   84.6   1.9e-17 !   [C28989; 123bp]
3067                 -         SSU_rRNA_eukarya     RF01960    cm      391      513      123        1      - 5'&3'    4 0.49   0.0  119.0   9.5e-33 !   [C28547; 123bp]
1635                 -         SSU_rRNA_eukarya     RF01960    cm     1067     1189      123        1      - 5'&3'    4 0.49   0.0  118.8   1.1e-32 !   [C28329; 123bp]
2046                 -         SSU_rRNA_eukarya     RF01960    cm     1054     1176      123        1      - 5'&3'    4 0.50   0.0  118.6   1.3e-32 !   [C31565; 123bp]
1769                 -         SSU_rRNA_eukarya     RF01960    cm      495      617      123        1      - 5'&3'    4 0.43   0.0  118.3   1.6e-32 !   [C33025; 123bp]
3576                 -         SSU_rRNA_eukarya     RF01960    cm     1564     1686        1      123      + 5'&3'    4 0.45   0.0  118.1   1.7e-32 !   [C30209; 123bp]
1025                 -         SSU_rRNA_eukarya     RF01960    cm      493      615      123        1      - 5'&3'    4 0.46   0.0  117.9     2e-32 !   [C33199; 123bp]
3183                 -         SSU_rRNA_eukarya     RF01960    cm      291      413      123        1      - 5'&3'    4 0.50   0.0  117.8   2.1e-32 !   [C28247; 123bp]
3122                 -         SSU_rRNA_eukarya     RF01960    cm     1054     1176      123        1      - 5'&3'    4 0.50   0.0  117.7   2.4e-32 !   [C28285; 123bp]
2961                 -         SSU_rRNA_eukarya     RF01960    cm     1053     1175        1      123      + 5'&3'    4 0.49   0.0  117.6   2.5e-32 !   [C28269; 123bp]
2214                 -         SSU_rRNA_eukarya     RF01960    cm      472      594        1      123      + 5'&3'    4 0.46   0.0  117.6   2.5e-32 !   [C31355; 123bp]
3408                 -         SSU_rRNA_eukarya     RF01960    cm     1567     1689      123        1      - 5'&3'    4 0.45   0.0  117.6   2.6e-32 !   [C33157; 123bp]
2419                 -         SSU_rRNA_eukarya     RF01960    cm      486      608      123        1      - 5'&3'    4 0.46   0.0  117.6   2.6e-32 !   [C32389; 123bp]
2831                 -         SSU_rRNA_eukarya     RF01960    cm      476      598      123        1      - 5'&3'    4 0.46   0.0  117.3   3.2e-32 !   [C29393; 123bp]
3539                 -         SSU_rRNA_eukarya     RF01960    cm     1253     1375      123        1      - 5'&3'    4 0.44   0.0  117.2   3.2e-32 !   [C29749; 123bp]
2849                 -         SSU_rRNA_eukarya     RF01960    cm     1608     1730      123        1      - 5'&3'    4 0.49   0.0  117.2   3.3e-32 !   [C29747; 123bp]
2322                 -         SSU_rRNA_eukarya     RF01960    cm     1255     1377        1      123      + 5'&3'    4 0.45   0.0  117.0   3.7e-32 !   [C31639; 123bp]
1101                 -         SSU_rRNA_eukarya     RF01960    cm      472      594        1      123      + 5'&3'    4 0.47   0.0  116.8   4.4e-32 !   [C31357; 123bp]
1314                 -         SSU_rRNA_eukarya     RF01960    cm        1      108       16      123      +    3'    3 0.38   0.0  116.7   4.8e-32 !   [C33573; 123bp]
3198                 -         SSU_rRNA_eukarya     RF01960    cm      390      512        1      123      + 5'&3'    4 0.50   0.0  116.2   6.5e-32 !   [C28105; 123bp]
2224                 -         SSU_rRNA_eukarya     RF01960    cm     1049     1171        1      123      + 5'&3'    4 0.47   0.0  116.2   6.7e-32 !   [C27867; 123bp]
1867                 -         SSU_rRNA_eukarya     RF01960    cm     1072     1194      123        1      - 5'&3'    4 0.50   0.0  116.2   6.8e-32 !   [C32069; 123bp]
2676                 -         SSU_rRNA_eukarya     RF01960    cm     1070     1192      123        1      - 5'&3'    4 0.49   0.0  116.1   7.3e-32 !   [C32939; 123bp]
2799                 -         SSU_rRNA_eukarya     RF01960    cm     1252     1374      123        1      - 5'&3'    4 0.45   0.0  116.0   7.7e-32 !   [C31301; 123bp]
4107                 -         SSU_rRNA_eukarya     RF01960    cm      297      413      117        1      - 5'&3'    4 0.50   0.0  115.9   8.2e-32 !   [C26769; 117bp]
1759                 -         SSU_rRNA_eukarya     RF01960    cm      549      671      123        1      - 5'&3'    4 0.48   0.0  115.8   8.8e-32 !   [C29659; 123bp]
832                  -         SSU_rRNA_eukarya     RF01960    cm        1      107       17      123      +    3'    3 0.38   0.0  115.7   9.2e-32 !   [C28697; 123bp]
2713                 -         SSU_rRNA_eukarya     RF01960    cm      491      613        1      123      + 5'&3'    4 0.45   0.0  115.5   1.1e-31 !   [C28673; 123bp]
1664                 -         SSU_rRNA_eukarya     RF01960    cm        1      106       18      123      +    3'    3 0.37   0.0  115.5   1.1e-31 !   [C28263; 123bp]
1089                 -         SSU_rRNA_eukarya     RF01960    cm      494      616      123        1      - 5'&3'    4 0.43   0.0  115.1   1.5e-31 !   [C33147; 123bp]
3425                 -         SSU_rRNA_eukarya     RF01960    cm      290      412      123        1      - 5'&3'    4 0.49   0.0  114.8   1.7e-31 !   [C29385; 123bp]
3905                 -         SSU_rRNA_eukarya     RF01960    cm      466      588      123        1      - 5'&3'    4 0.45   0.0  114.8   1.8e-31 !   [C30995; 123bp]
1115                 -         SSU_rRNA_eukarya     RF01960    cm      287      409        1      123      + 5'&3'    4 0.51   0.0  114.7   1.8e-31 !   [C33673; 123bp]
3529                 -         SSU_rRNA_eukarya     RF01960    cm      489      611        1      123      + 5'&3'    4 0.47   0.0  114.7   1.8e-31 !   [C31865; 123bp]
1119                 -         SSU_rRNA_eukarya     RF01960    cm      491      613        1      123      + 5'&3'    4 0.45   0.0  114.4   2.3e-31 !   [C28671; 123bp]
2164                 -         SSU_rRNA_eukarya     RF01960    cm      549      671      123        1      - 5'&3'    4 0.49   0.0  114.4   2.3e-31 !   [C29661; 123bp]
2131                 -         SSU_rRNA_eukarya     RF01960    cm     1560     1682      123        1      - 5'&3'    4 0.46   0.0  114.3   2.6e-31 !   [C29081; 123bp]
1862                 -         SSU_rRNA_eukarya     RF01960    cm     1042     1164        1      123      + 5'&3'    4 0.46   0.0  114.2   2.7e-31 !   [C27217; 123bp]
682                  -         SSU_rRNA_eukarya     RF01960    cm      466      588      123        1      - 5'&3'    4 0.45   0.0  114.1   2.9e-31 !   [C30993; 123bp]
5978                 -         SSU_rRNA_eukarya     RF01960    cm      332      439      108        1      - 5'&3'    4 0.58   0.0  113.9   3.4e-31 !   [C21112; 108bp]
961                  -         SSU_rRNA_eukarya     RF01960    cm      287      409        1      123      + 5'&3'    4 0.50   0.0  113.5   4.5e-31 !   [C33671; 123bp]
1561                 -         SSU_rRNA_eukarya     RF01960    cm      548      670        1      123      + 5'&3'    4 0.49   0.0  113.4   4.7e-31 !   [C32387; 123bp]
1413                 -         SSU_rRNA_eukarya     RF01960    cm     1609     1731        1      123      + 5'&3'    4 0.50   0.0  113.1   5.8e-31 !   [C30917; 123bp]
2586                 -         SSU_rRNA_eukarya     RF01960    cm      917     1039      123        1      - 5'&3'    4 0.40   0.0  113.1   5.9e-31 !   [C27593; 123bp]
3059                 -         SSU_rRNA_eukarya     RF01960    cm      993     1115      123        1      - 5'&3'    4 0.43   0.0  113.0   6.2e-31 !   [C32613; 123bp]
2677                 -         SSU_rRNA_eukarya     RF01960    cm     1563     1685      123        1      - 5'&3'    4 0.45   0.0  112.5   8.6e-31 !   [C30647; 123bp]
3233                 -         SSU_rRNA_eukarya     RF01960    cm      933     1055        1      123      + 5'&3'    4 0.41   0.0  112.5   8.8e-31 !   [C31901; 123bp]
2405                 -         SSU_rRNA_eukarya     RF01960    cm      924     1046        1      123      + 5'&3'    4 0.37   0.0  112.3     1e-30 !   [C28537; 123bp]
2687                 -         SSU_rRNA_eukarya     RF01960    cm      462      584        1      123      + 5'&3'    4 0.46   0.0  112.3   1.1e-30 !   [C33507; 123bp]
3649                 -         SSU_rRNA_eukarya     RF01960    cm     1033     1155      123        1      - 5'&3'    4 0.46   0.0  112.2   1.1e-30 !   [C33665; 123bp]
1604                 -         SSU_rRNA_eukarya     RF01960    cm     1257     1379        1      123      + 5'&3'    4 0.46   0.0  112.1   1.1e-30 !   [C27237; 123bp]
3079                 -         SSU_rRNA_eukarya     RF01960    cm      995     1117      123        1      - 5'&3'    4 0.46   0.0  112.1   1.2e-30 !   [C30929; 123bp]
1623                 -         SSU_rRNA_eukarya     RF01960    cm      915     1037      123        1      - 5'&3'    4 0.39   0.0  112.1   1.2e-30 !   [C30893; 123bp]
3245                 -         SSU_rRNA_eukarya     RF01960    cm      467      589      123        1      - 5'&3'    4 0.46   0.0  112.0   1.2e-30 !   [C33345; 123bp]
1301                 -         SSU_rRNA_eukarya     RF01960    cm      401      523        1      123      + 5'&3'    4 0.46   0.0  112.0   1.3e-30 !   [C27149; 123bp]
1899                 -         SSU_rRNA_eukarya     RF01960    cm     1615     1737      123        1      - 5'&3'    4 0.51   0.0  111.9   1.3e-30 !   [C30655; 123bp]
1666                 -         SSU_rRNA_eukarya     RF01960    cm     1035     1157        1      123      + 5'&3'    4 0.46   0.0  111.8   1.4e-30 !   [C27625; 123bp]
2624                 -         SSU_rRNA_eukarya     RF01960    cm     1035     1157      123        1      - 5'&3'    4 0.47   0.0  111.8   1.5e-30 !   [C33091; 123bp]
1656                 -         SSU_rRNA_eukarya     RF01960    cm     1617     1739        1      123      + 5'&3'    4 0.51   0.0  111.8   1.5e-30 !   [C32201; 123bp]
1326                 -         SSU_rRNA_eukarya     RF01960    cm     1562     1684      123        1      - 5'&3'    4 0.46   0.0  111.7   1.5e-30 !   [C31015; 123bp]
2243                 -         SSU_rRNA_eukarya     RF01960    cm     1000     1122      123        1      - 5'&3'    4 0.45   0.0  111.6   1.6e-30 !   [C30459; 123bp]
2804                 -         SSU_rRNA_eukarya     RF01960    cm      921     1043      123        1      - 5'&3'    4 0.38   0.0  111.6   1.7e-30 !   [C31339; 123bp]
1629                 -         SSU_rRNA_eukarya     RF01960    cm      904     1026      123        1      - 5'&3'    4 0.37   0.0  111.3     2e-30 !   [C33643; 123bp]
3952                 -         SSU_rRNA_eukarya     RF01960    cm      913     1035        1      123      + 5'&3'    4 0.38   0.0  111.3   2.1e-30 !   [C28439; 123bp]
2154                 -         SSU_rRNA_eukarya     RF01960    cm      403      525        1      123      + 5'&3'    4 0.47   0.0  111.2   2.3e-30 !   [C31103; 123bp]
3314                 -         SSU_rRNA_eukarya     RF01960    cm      927     1049      123        1      - 5'&3'    4 0.37   0.0  111.1   2.4e-30 !   [C28719; 123bp]
2955                 -         SSU_rRNA_eukarya     RF01960    cm     1610     1732      123        1      - 5'&3'    4 0.50   0.0  111.0   2.5e-30 !   [C32623; 123bp]
1312                 -         SSU_rRNA_eukarya     RF01960    cm     1011     1133      123        1      - 5'&3'    4 0.47   0.0  111.0   2.5e-30 !   [C30207; 123bp]
871                  -         SSU_rRNA_eukarya     RF01960    cm      912     1034      123        1      - 5'&3'    4 0.38   0.0  110.8     3e-30 !   [C27553; 123bp]
1264                 -         SSU_rRNA_eukarya     RF01960    cm      906     1028      123        1      - 5'&3'    4 0.38   0.0  110.7   3.1e-30 !   [C29623; 123bp]
794                  -         SSU_rRNA_eukarya     RF01960    cm     1615     1737      123        1      - 5'&3'    4 0.51   0.0  110.4   3.8e-30 !   [C30657; 123bp]
1209                 -         SSU_rRNA_eukarya     RF01960    cm      409      531        1      123      + 5'&3'    4 0.46   0.0  110.2   4.3e-30 !   [C28145; 123bp]
2741                 -         SSU_rRNA_eukarya     RF01960    cm      947     1069      123        1      - 5'&3'    4 0.44   0.0  110.1   4.7e-30 !   [C28125; 123bp]
3654                 -         SSU_rRNA_eukarya     RF01960    cm      941     1063      123        1      - 5'&3'    4 0.42   0.0  109.8   5.8e-30 !   [C29211; 123bp]
3668                 -         SSU_rRNA_eukarya     RF01960    cm      284      406        1      123      + 5'&3'    4 0.50   0.0  109.8   5.8e-30 !   [C30431; 123bp]
3970                 -         SSU_rRNA_eukarya     RF01960    cm      935     1056      122        1      - 5'&3'    4 0.38   0.0  109.8     6e-30 !   [C27095; 122bp]
2268                 -         SSU_rRNA_eukarya     RF01960    cm      551      673        1      123      + 5'&3'    4 0.50   0.0  109.8     6e-30 !   [C27445; 123bp]
1066                 -         SSU_rRNA_eukarya     RF01960    cm        1       99       25      123      +    3'    3 0.38   0.0  109.5   7.4e-30 !   [C32507; 123bp]
1752                 -         SSU_rRNA_eukarya     RF01960    cm     1010     1132        1      123      + 5'&3'    4 0.46   0.0  109.4   7.6e-30 !   [C33587; 123bp]
1689                 -         SSU_rRNA_eukarya     RF01960    cm      286      408        1      123      + 5'&3'    4 0.50   0.0  109.3   8.5e-30 !   [C31655; 123bp]
3817                 -         SSU_rRNA_eukarya     RF01960    cm     1032     1154        1      123      + 5'&3'    4 0.46   0.0  109.1   9.5e-30 !   [C28343; 123bp]
1677                 -         SSU_rRNA_eukarya     RF01960    cm     1024     1146      123        1      - 5'&3'    4 0.49   0.0  109.0   1.1e-29 !   [C31765; 123bp]
2926                 -         SSU_rRNA_eukarya     RF01960    cm     1008     1130        1      123      + 5'&3'    4 0.46   0.0  108.9   1.1e-29 !   [C31227; 123bp]
2682                 -         SSU_rRNA_eukarya     RF01960    cm     1037     1159        1      123      + 5'&3'    4 0.45   0.0  108.8   1.2e-29 !   [C33635; 123bp]
3616                 -         SSU_rRNA_eukarya     RF01960    cm     1008     1130        1      123      + 5'&3'    4 0.46   0.0  108.7   1.3e-29 !   [C31229; 123bp]
3410                 -         SSU_rRNA_eukarya     RF01960    cm      409      531        1      123      + 5'&3'    4 0.46   0.0  108.6   1.4e-29 !   [C28147; 123bp]
2324                 -         SSU_rRNA_eukarya     RF01960    cm     1008     1130        1      123      + 5'&3'    4 0.46   0.0  108.6   1.4e-29 !   [C31231; 123bp]
1062                 -         SSU_rRNA_eukarya     RF01960    cm     1028     1150      123        1      - 5'&3'    4 0.50   0.0  108.6   1.4e-29 !   [C28051; 123bp]
3088                 -         SSU_rRNA_eukarya     RF01960    cm     1012     1134        1      123      + 5'&3'    4 0.46   0.0  108.4   1.6e-29 !   [C28061; 123bp]
2228                 -         SSU_rRNA_eukarya     RF01960    cm      409      531        1      123      + 5'&3'    4 0.45   0.0  108.2   1.8e-29 !   [C28143; 123bp]
786                  -         SSU_rRNA_eukarya     RF01960    cm      986     1108        1      123      + 5'&3'    4 0.44   0.0  108.0   2.1e-29 !   [C29263; 123bp]
2522                 -         SSU_rRNA_eukarya     RF01960    cm      990     1112        1      123      + 5'&3'    4 0.45   0.0  107.8   2.3e-29 !   [C27391; 123bp]
2253                 -         SSU_rRNA_eukarya     RF01960    cm     1006     1128        1      123      + 5'&3'    4 0.45   0.0  107.8   2.5e-29 !   [C28457; 123bp]
